blockNumber,timestamp,time,number,hash,size,stripped_size,difficulty,confirmations,weight,parent_hash,next_block_hash,block_reward_btc,block_reward_usd,fee_reward_btc,fee_reward_usd,total_reward,input_btc,input_usd,output_btc,output_usd,total_input,total_output,bits,nonce,merkleroot,median_time,version,version_hex,coinbase,total_transactions,chainwork
479808,1502282210,2017-08-09 12:36:50,479808,0x0000000000000000012e6060980c6475a9a8e62a1bf44b76c5d51f707d54522c,999109,999109,923233068448.9053,284742,3996436,0x00000000000000000053e2d10bd703ad5b7787614965711d6170b69b133aa366,0x0000000000000000004080daf2e03176c177c1569d95c7f0254afd5c24adb594,12.50000000,41850.87500000,1.68302880,5634.89823442,14.18302880,39187.00295389,131200828.97982964,39199.50295389,131242679.85483022,4601,6033,0x180130e0,2949556041,0x9f904022feb388a66fe08a0350dd0246ee12e8dd5c4bcc6f0c35c59eafd57420,2017-08-09 11:43:30,536870914,20000002,0340520704e3018b592f4e59412ffabe6d6da99944aa9d26accaf3c7076ed0b848a1059704d5692db96a0b3c5fb3cce38021010000000000000002186e7469bd010000000000,2469,0x0000000000000000000000000000000000000000007819dea982c48904745c8f
479809,1502282273,2017-08-09 12:37:53,479809,0x0000000000000000004080daf2e03176c177c1569d95c7f0254afd5c24adb594,998228,998228,923233068448.9053,284741,3992912,0x0000000000000000012e6060980c6475a9a8e62a1bf44b76c5d51f707d54522c,0x00000000000000000091b0b0155bfa3cd0d8d6bd8eb5b17a7eaa57d973b37ecc,12.50000000,41850.87500000,0.99570312,3333.68374498,13.49570312,9498.11413659,31800350.99729297,9510.61413659,31842201.87229294,4394,4822,0x180130e0,1254673104,0x5d07d279c282432cf08b53d79025bb5c2992ce675aecfb5432fcd479db8d820a,2017-08-09 11:46:20,536870914,20000002,03415207000421028b5904eafb78110c7466145a69030080000000000a636b706f6f6c192f6d696e65642062792067626d696e6572732f202f4e59412f,1937,0x000000000000000000000000000000000000000000781ab59f545ffb87a7e5be
479810,1502283058,2017-08-09 12:50:58,479810,0x00000000000000000091b0b0155bfa3cd0d8d6bd8eb5b17a7eaa57d973b37ecc,749179,749179,923233068448.9053,284740,2996716,0x0000000000000000004080daf2e03176c177c1569d95c7f0254afd5c24adb594,0x0000000000000000006014d417ca2a11e6984126440b0d5a2268ae82e8369869,12.50000000,41850.87500000,1.08141075,3620.63888975,13.58141075,16679.87874714,55845401.63693716,16692.37874714,55887252.51193693,3344,3879,0x180130e0,815553911,0x703abbfb3bde4d3134198f24496491bf97fcf71a202daf42044e32fee28ef0f5,2017-08-09 11:53:48,536870914,20000002,03425207328a282709babb751129ef6d05e8dff51a92260e8cd5c78b106609a2383b2859fdc552c88d010000000000000000a6e20000c60f2f385817d3fc2f425443432f20537570706f7274202f4e59412f000000000000000000000000000000000000,1605,0x000000000000000000000000000000000000000000781b8c9525fb6e0adb6eed
479811,1502284114,2017-08-09 13:08:34,479811,0x0000000000000000006014d417ca2a11e6984126440b0d5a2268ae82e8369869,749241,749241,923233068448.9053,284739,2996964,0x00000000000000000091b0b0155bfa3cd0d8d6bd8eb5b17a7eaa57d973b37ecc,0x000000000000000000e9b0e449e53213c72fec95850972434acaae53f6b74fa5,12.50000000,41850.87500000,1.17285953,3926.81580661,13.67285953,23066.58528019,77228542.17904603,23079.08528019,77270393.05404545,3454,4452,0x180130e0,222945184,0x08f5a5f37e2c1a673997bb0b672c4f048b2ad1578bc41a75bee3cc0f898268b3,2017-08-09 12:06:00,536870914,20000002,03435207ea52465a09b1d4659665c3bb88233f3593dc5cbcd6cd86fa38349668ca5d3c1c10ad9eee8a01000000000000000085de000001000000fa3be1ba2f425443432f20537570706f7274202f4e59412f000000000000000000000000000000000000,1816,0x000000000000000000000000000000000000000000781c638af796e08e0ef81c
479812,1502284895,2017-08-09 13:21:35,479812,0x000000000000000000e9b0e449e53213c72fec95850972434acaae53f6b74fa5,999997,999997,923233068448.9053,284738,3999988,0x0000000000000000006014d417ca2a11e6984126440b0d5a2268ae82e8369869,0x0000000000000000010210dfb7bf8a582b2c18b1d0253f0abfae7715b7b92d77,12.50000000,41850.87500000,1.40553140,4705.81751440,13.90553140,25652.72757487,85887127.61159440,25665.22757487,85928978.48659520,4612,4739,0x180130e0,2809782216,0x588cc005811e773aeb266734c666e135d7a9d51625063301fec3234552697de1,2017-08-09 12:08:11,536870930,20000012,03445207052f4e59412f2cfabe6d6d797ce5690a7c2da9233c59babdb660a9307f915e6c70f80b1b2f796e4ce4775b04000000f09f909f0f4d696e656420627920726d647364730000000000000000000000000000000000000000000000000000000000,1798,0x000000000000000000000000000000000000000000781d3a80c932531142814b
479813,1502285632,2017-08-09 13:33:52,479813,0x0000000000000000010210dfb7bf8a582b2c18b1d0253f0abfae7715b7b92d77,999959,999959,923233068448.9053,284737,3999836,0x000000000000000000e9b0e449e53213c72fec95850972434acaae53f6b74fa5,0x000000000000000000bf44ddc5f32a2f5a17327400425eea2508a91e0aa15565,12.50000000,41850.87500000,1.31195732,4392.52494437,13.81195732,17738.81451012,59390792.69689711,17751.31451012,59432643.57189757,4377,5542,0x180130e0,865359035,0x3967dcee1584d144061c8ad174e4df424029ceb4389568b3d9bf3656bbf7a227,2017-08-09 12:36:50,536870930,20000012,03455207052f4e59412f2cfabe6d6d25508255b2e3f0980300f607dd79f43fb9df1e15ae3eaea9103b7c168c95618d04000000f09f909f104d696e6564206279206c6a783333333100000000000000000000000000000000000000000000000000000000,2322,0x000000000000000000000000000000000000000000781e11769acdc594760a7a
